-1.5	193.2
-1.47	183.8
-1.44	175.8
-1.41	164.2
-1.38	148.7
-1.35	131.9
-1.32	127.9
-1.29	142.2
-1.26	168.7
-1.23	192.9
-1.2	202.5
-1.17	209.8
-1.14	211.6
-1.11	194.2
-1.08	162.7
-1.05	144.2
-1.02	120.6
-0.99	110.7
-0.96	107.7
-0.93	110.5
-0.9	122.2
-0.87	149.7
-0.84	175.8
-0.81	220.6
-0.78	235.9
-0.75	224.9
-0.72	213.2
-0.69	191.6
-0.66	141.8
-0.63	101.6
-0.6	82.8
-0.57	90.5
-0.54	122.6
-0.51	155.4
-0.48	183.6
-0.45	213.1
-0.42	243.3
-0.39	262
-0.36	254.1
-0.33	185.7
-0.3	115.1
-0.27	70.2
-0.24	59.3
-0.21	57.1
-0.18	87.1
-0.15	152.6
-0.12	231.2
-0.09	261.3
-0.06	286.5
-0.03	283.6
0	270.9
0.03	241.8
0.06	197.5
0.09	126.2
0.12	79.3
0.15	33.5
0.18	58.1
0.21	124.2
0.24	164.2
0.27	208.8
0.3	282.9
0.33	307
0.36	255.7
0.39	212.2
0.42	126.4
0.45	72.5
0.48	41.3
0.51	18.75
0.54	23.86
0.57	77.6
0.6	140.1
0.63	270.3
0.66	317
0.69	301
0.72	269.9
0.75	231.7
0.78	133.9
0.81	50.4
0.84	12.24
0.87	21.18
0.9	67.2
0.93	119.8
0.96	157.6
0.99	213.9
1.02	265.8
1.05	306
1.08	311
1.11	254.3
1.14	167.2
1.17	88.5
1.2	56.7
1.23	33.5
1.26	27.6
1.29	76.7
1.32	171.5
1.35	217
1.38	275.4
1.41	295.4
1.44	294.8
1.47	278.4
1.5	239.6
1.53	166.3
1.56	110.9
1.59	46.8
1.62	58.7
1.65	112.4
1.68	146.8
1.71	187
1.74	244.8
1.77	272.2
1.8	250.5
1.83	225.4
1.86	172.7
1.89	135.6
1.92	109.7
1.95	83.5
1.98	70.4
2.01	77.4
2.04	100.5
2.07	168.7
2.1	220.2
2.13	243.7
2.16	245.9
2.19	239.3
2.22	204.1
2.25	155.4
2.28	108.9
2.31	97.3
2.34	98.7
2.37	113.3
2.4	128.4
2.43	152.1
2.46	180.3
2.49	211.5
2.52	220.1
2.55	206.8
2.58	174.3
2.61	143
2.64	130.6
2.67	122.6
2.7	118.1
2.73	131.8
2.76	158.9
2.79	172.4
2.82	190.7
2.85	199
