1.5	194.1
1.47	193.7
1.44	193.7
1.41	193.9
1.38	194.1
1.35	194.5
1.32	194.7
1.29	195.2
1.26	195.8
1.23	196.4
1.2	198.8
1.17	202.7
1.14	195.8
1.11	171.1
1.08	152.3
1.05	157
1.02	191.5
0.99	212.9
0.96	178
0.93	138.7
0.9	173.7
0.87	219
0.84	221
0.81	171
0.78	123.2
0.75	163
0.72	223.1
0.69	235.6
0.66	144.6
0.63	108.4
0.6	155
0.57	238.4
0.54	233.9
0.51	90.6
0.48	134.5
0.45	262
0.42	207.7
0.39	83.3
0.36	84.3
0.33	209
0.3	297.5
0.27	104.1
0.24	57.1
0.21	293
0.18	289
0.15	151.2
0.12	45.5
0.09	80.9
0.06	296.6
0.03	119.4
0	29.73
-0.03	201.4
-0.06	314
-0.09	124.8
-0.12	20.71
-0.15	87
-0.18	291
-0.21	203.2
-0.24	31.5
-0.27	87
-0.3	310
-0.33	245.5
-0.36	92.1
-0.39	34.2
-0.42	188
-0.45	275
-0.48	96
-0.51	58
-0.54	245
-0.57	264.5
-0.6	160
-0.63	65.9
-0.66	120.4
-0.69	276.2
-0.72	196.9
-0.75	92.9
-0.78	152.7
-0.81	251.8
-0.84	240
-0.87	155.2
-0.9	102.4
-0.93	235.2
-0.96	204.2
-0.99	124.6
-1.02	163.2
-1.05	221.3
-1.08	213.7
-1.11	163.6
-1.14	134.4
-1.17	197.8
-1.2	208.2
-1.23	171.4
-1.26	151.2
-1.29	184.3
-1.32	200.2
-1.35	190.5
-1.38	162.8
-1.41	177.6
-1.44	192.2
-1.47	182.2
-1.5	165
