Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	64.0
19.1	62.0
19.2	71.0
19.3	79.0
19.4	66.0
19.5	75.0
19.6	73.0
19.7	78.0
19.8	88.0
19.9	87.0
20.0	93.0
20.1	171.0
20.2	385.0
20.3	642.0
20.4	831.0
20.5	543.0
20.6	147.0
20.7	100.0
20.8	102.0
20.9	105.0
21.0	97.0
21.1	97.0
21.2	96.0
21.3	114.0
21.4	97.0
21.5	104.0
21.6	118.0
21.7	138.0
21.8	138.0
21.9	170.0
22.0	165.0
22.1	175.0
22.2	219.0
22.3	371.0
22.4	1228.0
22.5	2703.0
22.6	3169.0
22.7	3127.0
22.8	2447.0
22.9	247.0
23.0	122.0
23.1	101.0
23.2	92.0
23.3	102.0
23.4	82.0
23.5	87.0
23.6	77.0
23.7	80.0
23.8	62.0
23.9	71.0
24.0	66.0
