Crystal angle	Rate at 23kV
theta/°	R(23kV)/Imp/s

19.0	171.0
19.1	181.0
19.2	193.0
19.3	181.0
19.4	169.0
19.5	171.0
19.6	192.0
19.7	180.0
19.8	202.0
19.9	223.0
20.0	239.0
20.1	342.0
20.2	743.0
20.3	1282.0
20.4	1588.0
20.5	1109.0
20.6	329.0
20.7	263.0
20.8	211.0
20.9	240.0
21.0	225.0
21.1	216.0
21.2	215.0
21.3	223.0
21.4	242.0
21.5	248.0
21.6	252.0
21.7	292.0
21.8	318.0
21.9	330.0
22.0	333.0
22.1	344.0
22.2	453.0
22.3	699.0
22.4	2260.0
22.5	4761.0
22.6	5698.0
22.7	5755.0
22.8	4532.0
22.9	577.0
23.0	276.0
23.1	251.0
23.2	213.0
23.3	194.0
23.4	202.0
23.5	183.0
23.6	172.0
23.7	173.0
23.8	180.0
23.9	170.0
24.0	155.0
