Crystal angle	Rate at 26kV
theta/°	R(26kV)/Imp/s

19.0	217.0
19.1	220.0
19.2	222.0
19.3	239.0
19.4	235.0
19.5	235.0
19.6	235.0
19.7	242.0
19.8	245.0
19.9	246.0
20.0	294.0
20.1	467.0
20.2	966.0
20.3	1587.0
20.4	2071.0
20.5	1470.0
20.6	405.0
20.7	318.0
20.8	306.0
20.9	288.0
21.0	290.0
21.1	270.0
21.2	268.0
21.3	278.0
21.4	325.0
21.5	330.0
21.6	345.0
21.7	393.0
21.8	403.0
21.9	419.0
22.0	429.0
22.1	468.0
22.2	598.0
22.3	919.0
22.4	2762.0
22.5	5873.0
22.6	7241.0
22.7	7277.0
22.8	5731.0
22.9	722.0
23.0	365.0
23.1	305.0
23.2	275.0
23.3	281.0
23.4	270.0
23.5	258.0
23.6	221.0
23.7	211.0
23.8	225.0
23.9	228.0
24.0	205.0
