Crystal angle	Rate at 11kV
theta/°	R(11kV)/Imp/s

19.0	20.0
19.1	17.0
19.2	18.0
19.3	16.0
19.4	18.0
19.5	20.0
19.6	15.0
19.7	19.0
19.8	23.0
19.9	20.0
20.0	19.0
20.1	25.0
20.2	39.0
20.3	63.0
20.4	82.0
20.5	71.0
20.6	30.0
20.7	22.0
20.8	27.0
20.9	27.0
21.0	22.0
21.1	23.0
21.2	27.0
21.3	30.0
21.4	22.0
21.5	24.0
21.6	29.0
21.7	35.0
21.8	28.0
21.9	23.0
22.0	33.0
22.1	32.0
22.2	28.0
22.3	51.0
22.4	102.0
22.5	265.0
22.6	303.0
22.7	304.0
22.8	257.0
22.9	44.0
23.0	35.0
23.1	21.0
23.2	25.0
23.3	33.0
23.4	28.0
23.5	26.0
23.6	29.0
23.7	20.0
23.8	24.0
23.9	25.0
24.0	16.0
