Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	325.0
19.1	326.0
19.2	349.0
19.3	368.0
19.4	379.0
19.5	384.0
19.6	399.0
19.7	384.0
19.8	444.0
19.9	440.0
20.0	512.0
20.1	786.0
20.2	1479.0
20.3	2668.0
20.4	3553.0
20.5	2639.0
20.6	763.0
20.7	558.0
20.8	527.0
20.9	466.0
21.0	476.0
21.1	465.0
21.2	466.0
21.3	485.0
21.4	500.0
21.5	567.0
21.6	575.0
21.7	665.0
21.8	756.0
21.9	782.0
22.0	814.0
22.1	815.0
22.2	987.0
22.3	1476.0
22.4	4267.0
22.5	9503.0
22.6	11286.0
22.7	11334.0
22.8	9739.0
22.9	1409.0
23.0	630.0
23.1	553.0
23.2	469.0
23.3	439.0
23.4	388.0
23.5	406.0
23.6	382.0
23.7	365.0
23.8	383.0
23.9	331.0
24.0	337.0
