Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	236.0
19.1	247.0
19.2	245.0
19.3	255.0
19.4	270.0
19.5	252.0
19.6	269.0
19.7	292.0
19.8	287.0
19.9	320.0
20.0	364.0
20.1	557.0
20.2	1198.0
20.3	2027.0
20.4	2605.0
20.5	1780.0
20.6	549.0
20.7	379.0
20.8	373.0
20.9	334.0
21.0	332.0
21.1	324.0
21.2	345.0
21.3	337.0
21.4	349.0
21.5	399.0
21.6	442.0
21.7	458.0
21.8	494.0
21.9	532.0
22.0	542.0
22.1	573.0
22.2	761.0
22.3	1151.0
22.4	3542.0
22.5	7371.0
22.6	9006.0
22.7	8989.0
22.8	7028.0
22.9	928.0
23.0	443.0
23.1	380.0
23.2	335.0
23.3	328.0
23.4	310.0
23.5	263.0
23.6	272.0
23.7	271.0
23.8	260.0
23.9	245.0
24.0	263.0
