Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	161.0
19.1	182.0
19.2	177.0
19.3	174.0
19.4	179.0
19.5	204.0
19.6	203.0
19.7	205.0
19.8	191.0
19.9	233.0
20.0	240.0
20.1	435.0
20.2	901.0
20.3	1527.0
20.4	1902.0
20.5	1303.0
20.6	387.0
20.7	268.0
20.8	265.0
20.9	254.0
21.0	270.0
21.1	229.0
21.2	267.0
21.3	243.0
21.4	254.0
21.5	281.0
21.6	279.0
21.7	341.0
21.8	370.0
21.9	387.0
22.0	395.0
22.1	441.0
22.2	561.0
22.3	870.0
22.4	2765.0
22.5	5670.0
22.6	6806.0
22.7	6804.0
22.8	5293.0
22.9	691.0
23.0	313.0
23.1	240.0
23.2	224.0
23.3	226.0
23.4	208.0
23.5	196.0
23.6	188.0
23.7	178.0
23.8	182.0
23.9	181.0
24.0	186.0
