Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	269.0
19.1	302.0
19.2	297.0
19.3	289.0
19.4	312.0
19.5	322.0
19.6	307.0
19.7	343.0
19.8	331.0
19.9	341.0
20.0	410.0
20.1	628.0
20.2	1279.0
20.3	2282.0
20.4	2911.0
20.5	2051.0
20.6	622.0
20.7	450.0
20.8	432.0
20.9	421.0
21.0	410.0
21.1	374.0
21.2	350.0
21.3	376.0
21.4	421.0
21.5	447.0
21.6	441.0
21.7	538.0
21.8	565.0
21.9	651.0
22.0	633.0
22.1	656.0
22.2	812.0
22.3	1294.0
22.4	3816.0
22.5	8155.0
22.6	9814.0
22.7	9941.0
22.8	8046.0
22.9	1073.0
23.0	525.0
23.1	423.0
23.2	380.0
23.3	372.0
23.4	327.0
23.5	328.0
23.6	284.0
23.7	304.0
23.8	315.0
23.9	292.0
24.0	286.0
