Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	149.0
19.1	138.0
19.2	141.0
19.3	143.0
19.4	153.0
19.5	155.0
19.6	148.0
19.7	170.0
19.8	158.0
19.9	195.0
20.0	196.0
20.1	335.0
20.2	732.0
20.3	1263.0
20.4	1572.0
20.5	998.0
20.6	293.0
20.7	227.0
20.8	216.0
20.9	194.0
21.0	187.0
21.1	187.0
21.2	176.0
21.3	185.0
21.4	222.0
21.5	227.0
21.6	251.0
21.7	257.0
21.8	295.0
21.9	329.0
22.0	308.0
22.1	343.0
22.2	417.0
22.3	716.0
22.4	2306.0
22.5	4743.0
22.6	5589.0
22.7	5622.0
22.8	4339.0
22.9	533.0
23.0	240.0
23.1	214.0
23.2	173.0
23.3	171.0
23.4	176.0
23.5	166.0
23.6	144.0
23.7	159.0
23.8	153.0
23.9	150.0
24.0	131.0
