Crystal angle	Rate at 13kV	Rate at 15kV	Rate at 17kV	Rate at 19kV	Rate at 23kV	Rate at 27kV	Rate at 31kV
theta/Á	R(13kV)/Imp/s	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(23kV)/Imp/s	R(27kV)/Imp/s	R(31kV)/Imp/s
							
12.7	1.0	2.0	6.0	13.0	17.0	23.0	41.0
12.8	3.0	5.0	5.0	9.0	17.0	27.0	38.0
12.9	2.0	1.0	6.0	10.0	23.0	25.0	32.0
13.0	0.0	2.0	8.0	9.0	22.0	31.0	35.0
13.1	0.0	3.0	11.0	11.0	24.0	26.0	39.0
13.2	0.0	4.0	4.0	12.0	19.0	26.0	38.0
13.3	2.0	5.0	9.0	13.0	26.0	37.0	44.0
13.4	0.0	5.0	10.0	15.0	20.0	31.0	47.0
13.5	1.0	7.0	10.0	15.0	21.0	29.0	45.0
13.6	1.0	6.0	7.0	13.0	18.0	35.0	43.0
13.7	1.0	8.0	9.0	15.0	29.0	33.0	37.0
13.8	0.0	4.0	10.0	12.0	21.0	25.0	41.0
13.9	2.0	7.0	8.0	19.0	25.0	42.0	47.0
14.0	1.0	4.0	10.0	15.0	25.0	30.0	44.0
14.1	1.0	7.0	17.0	18.0	22.0	35.0	40.0
14.2	2.0	5.0	9.0	22.0	29.0	42.0	39.0
14.3	2.0	10.0	10.0	23.0	21.0	28.0	46.0
14.4	1.0	7.0	14.0	15.0	20.0	34.0	41.0
14.5	6.0	5.0	13.0	20.0	35.0	36.0	40.0
14.6	4.0	9.0	13.0	17.0	22.0	30.0	40.0
14.7	3.0	9.0	14.0	17.0	32.0	31.0	51.0
14.8	1.0	6.0	15.0	13.0	26.0	33.0	48.0
14.9	2.0	5.0	16.0	21.0	35.0	40.0	50.0
15.0	3.0	10.0	17.0	20.0	35.0	40.0	49.0
15.1	6.0	9.0	13.0	20.0	34.0	38.0	44.0
15.2	3.0	9.0	15.0	20.0	28.0	36.0	43.0
15.3	6.0	4.0	14.0	18.0	24.0	35.0	56.0
15.4	7.0	9.0	15.0	16.0	29.0	39.0	52.0
15.5	3.0	8.0	21.0	16.0	25.0	42.0	44.0
15.6	5.0	10.0	11.0	27.0	31.0	36.0	49.0
15.7	8.0	8.0	19.0	24.0	32.0	41.0	49.0
15.8	6.0	10.0	21.0	24.0	34.0	50.0	50.0
15.9	7.0	9.0	20.0	18.0	38.0	43.0	56.0
16.0	5.0	7.0	19.0	26.0	32.0	45.0	45.0
16.1	5.0	8.0	18.0	22.0	27.0	52.0	47.0
16.2	7.0	10.0	14.0	22.0	39.0	47.0	51.0
16.3	8.0	14.0	16.0	25.0	31.0	51.0	61.0
16.4	6.0	15.0	16.0	26.0	28.0	45.0	51.0
16.5	7.0	12.0	16.0	18.0	32.0	51.0	58.0
16.6	8.0	9.0	22.0	22.0	40.0	40.0	57.0
16.7	7.0	13.0	16.0	30.0	36.0	47.0	57.0
16.8	5.0	14.0	21.0	21.0	32.0	38.0	64.0
16.9	6.0	14.0	24.0	19.0	30.0	46.0	51.0
17.0	8.0	11.0	17.0	25.0	31.0	41.0	51.0
17.1	6.0	11.0	15.0	24.0	27.0	48.0	58.0
17.2	6.0	12.0	12.0	23.0	32.0	55.0	51.0
17.3	10.0	11.0	16.0	24.0	24.0	38.0	54.0
17.4	6.0	14.0	20.0	26.0	32.0	39.0	54.0
17.5	6.0	11.0	15.0	29.0	33.0	37.0	45.0
17.6	8.0	10.0	15.0	21.0	28.0	30.0	44.0
17.7	5.0	11.0	17.0	16.0	28.0	40.0	52.0
17.8	7.0	12.0	18.0	15.0	31.0	43.0	45.0
17.9	7.0	12.0	13.0	24.0	23.0	42.0	46.0
18.0	9.0	12.0	19.0	17.0	32.0	32.0	42.0
18.1	7.0	10.0	18.0	23.0	33.0	43.0	46.0
18.2	6.0	7.0	21.0	20.0	22.0	48.0	43.0
18.3	7.0	13.0	16.0	27.0	32.0	38.0	52.0
18.4	6.0	12.0	14.0	17.0	27.0	34.0	44.0
18.5	9.0	10.0	18.0	21.0	29.0	43.0	41.0
18.6	8.0	12.0	11.0	20.0	28.0	42.0	46.0
18.7	6.0	12.0	18.0	22.0	42.0	40.0	54.0
18.8	9.0	10.0	10.0	24.0	28.0	30.0	58.0
18.9	10.0	13.0	13.0	21.0	28.0	49.0	54.0
19.0	7.0	14.0	12.0	17.0	30.0	33.0	48.0
19.1	6.0	12.0	18.0	17.0	31.0	45.0	50.0
19.2	9.0	11.0	16.0	22.0	30.0	44.0	44.0
19.3	10.0	14.0	14.0	22.0	35.0	37.0	56.0
19.4	5.0	17.0	12.0	22.0	37.0	48.0	51.0
19.5	10.0	15.0	15.0	21.0	30.0	45.0	60.0
19.6	7.0	11.0	21.0	30.0	31.0	34.0	57.0
19.7	8.0	17.0	16.0	18.0	37.0	41.0	51.0
19.8	10.0	11.0	16.0	26.0	36.0	42.0	61.0
19.9	6.0	13.0	15.0	27.0	35.0	48.0	60.0
20.0	7.0	12.0	20.0	28.0	35.0	49.0	65.0
20.1	12.0	16.0	23.0	34.0	47.0	61.0	77.0
20.2	15.0	27.0	39.0	51.0	84.0	129.0	133.0
20.3	30.0	42.0	60.0	94.0	142.0	204.0	228.0
20.4	55.0	107.0	155.0	218.0	335.0	491.0	626.0
20.5	47.0	68.0	122.0	183.0	300.0	425.0	593.0
20.6	10.0	21.0	24.0	42.0	61.0	79.0	94.0
20.7	10.0	14.0	20.0	31.0	41.0	59.0	70.0
20.8	10.0	14.0	21.0	23.0	42.0	55.0	73.0
20.9	9.0	16.0	18.0	16.0	34.0	42.0	57.0
21.0	7.0	14.0	19.0	25.0	34.0	54.0	72.0
