Crystal angle	Rate at 32kV
theta/°	R(32kV)/Imp/s

19.0	288.0
19.1	317.0
19.2	301.0
19.3	295.0
19.4	332.0
19.5	322.0
19.6	336.0
19.7	356.0
19.8	347.0
19.9	371.0
20.0	425.0
20.1	690.0
20.2	1372.0
20.3	2378.0
20.4	3001.0
20.5	2169.0
20.6	634.0
20.7	472.0
20.8	444.0
20.9	450.0
21.0	402.0
21.1	399.0
21.2	408.0
21.3	388.0
21.4	446.0
21.5	492.0
21.6	534.0
21.7	574.0
21.8	605.0
21.9	665.0
22.0	689.0
22.1	705.0
22.2	833.0
22.3	1297.0
22.4	3873.0
22.5	8464.0
22.6	10129.0
22.7	10232.0
22.8	8566.0
22.9	1154.0
23.0	542.0
23.1	477.0
23.2	423.0
23.3	417.0
23.4	348.0
23.5	358.0
23.6	351.0
23.7	323.0
23.8	333.0
23.9	287.0
24.0	293.0
