Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	30.0
19.1	38.0
19.2	34.0
19.3	34.0
19.4	32.0
19.5	35.0
19.6	33.0
19.7	34.0
19.8	33.0
19.9	33.0
20.0	43.0
20.1	78.0
20.2	155.0
20.3	304.0
20.4	430.0
20.5	275.0
20.6	76.0
20.7	43.0
20.8	50.0
20.9	45.0
21.0	60.0
21.1	40.0
21.2	44.0
21.3	46.0
21.4	47.0
21.5	51.0
21.6	53.0
21.7	56.0
21.8	72.0
21.9	65.0
22.0	74.0
22.1	70.0
22.2	103.0
22.3	139.0
22.4	559.0
22.5	1297.0
22.6	1617.0
22.7	1610.0
22.8	1273.0
22.9	131.0
23.0	71.0
23.1	43.0
23.2	37.0
23.3	39.0
23.4	37.0
23.5	42.0
23.6	33.0
23.7	38.0
23.8	32.0
23.9	34.0
24.0	30.0
