Crystal angle	Rate at 20kV
theta/°	R(20kV)/Imp/s

19.0	106.0
19.1	120.0
19.2	140.0
19.3	124.0
19.4	130.0
19.5	128.0
19.6	125.0
19.7	138.0
19.8	135.0
19.9	145.0
20.0	155.0
20.1	255.0
20.2	521.0
20.3	894.0
20.4	1104.0
20.5	759.0
20.6	235.0
20.7	169.0
20.8	174.0
20.9	163.0
21.0	153.0
21.1	166.0
21.2	163.0
21.3	149.0
21.4	177.0
21.5	174.0
21.6	188.0
21.7	213.0
21.8	221.0
21.9	229.0
22.0	239.0
22.1	246.0
22.2	328.0
22.3	508.0
22.4	1600.0
22.5	3526.0
22.6	4252.0
22.7	4245.0
22.8	3338.0
22.9	401.0
23.0	180.0
23.1	162.0
23.2	154.0
23.3	149.0
23.4	130.0
23.5	132.0
23.6	124.0
23.7	129.0
23.8	132.0
23.9	122.0
24.0	115.0
