Crystal angle	Rate at 17kV
theta/°	R(17kV)/Imp/s

19.0	86.0
19.1	83.0
19.2	83.0
19.3	97.0
19.4	77.0
19.5	89.0
19.6	93.0
19.7	94.0
19.8	94.0
19.9	94.0
20.0	103.0
20.1	163.0
20.2	330.0
20.3	552.0
20.4	719.0
20.5	485.0
20.6	142.0
20.7	114.0
20.8	106.0
20.9	103.0
21.0	104.0
21.1	93.0
21.2	110.0
21.3	98.0
21.4	102.0
21.5	113.0
21.6	122.0
21.7	117.0
21.8	133.0
21.9	134.0
22.0	139.0
22.1	167.0
22.2	179.0
22.3	298.0
22.4	1006.0
22.5	2245.0
22.6	2796.0
22.7	2794.0
22.8	2148.0
22.9	258.0
23.0	117.0
23.1	113.0
23.2	92.0
23.3	106.0
23.4	94.0
23.5	103.0
23.6	75.0
23.7	77.0
23.8	89.0
23.9	85.0
24.0	80.0
