Crystal angle	Rate at 14kV
theta/°	R(14kV)/Imp/s

19.0	56.0
19.1	45.0
19.2	50.0
19.3	48.0
19.4	49.0
19.5	48.0
19.6	54.0
19.7	53.0
19.8	53.0
19.9	61.0
20.0	52.0
20.1	82.0
20.2	155.0
20.3	279.0
20.4	332.0
20.5	224.0
20.6	74.0
20.7	74.0
20.8	73.0
20.9	69.0
21.0	60.0
21.1	65.0
21.2	56.0
21.3	64.0
21.4	57.0
21.5	68.0
21.6	75.0
21.7	84.0
21.8	69.0
21.9	76.0
22.0	78.0
22.1	85.0
22.2	101.0
22.3	155.0
22.4	488.0
22.5	1145.0
22.6	1407.0
22.7	1432.0
22.8	1097.0
22.9	102.0
23.0	71.0
23.1	68.0
23.2	49.0
23.3	55.0
23.4	44.0
23.5	44.0
23.6	43.0
23.7	49.0
23.8	48.0
23.9	43.0
24.0	47.0
