Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

19.0	209.0
19.1	212.0
19.2	217.0
19.3	224.0
19.4	225.0
19.5	240.0
19.6	240.0
19.7	261.0
19.8	256.0
19.9	261.0
20.0	313.0
20.1	516.0
20.2	1035.0
20.3	1810.0
20.4	2215.0
20.5	1555.0
20.6	426.0
20.7	337.0
20.8	319.0
20.9	293.0
21.0	299.0
21.1	267.0
21.2	292.0
21.3	300.0
21.4	309.0
21.5	351.0
21.6	365.0
21.7	380.0
21.8	419.0
21.9	455.0
22.0	493.0
22.1	519.0
22.2	693.0
22.3	1034.0
22.4	3159.0
22.5	6456.0
22.6	7920.0
22.7	7964.0
22.8	6098.0
22.9	786.0
23.0	388.0
23.1	323.0
23.2	301.0
23.3	262.0
23.4	242.0
23.5	238.0
23.6	224.0
23.7	224.0
23.8	229.0
23.9	211.0
24.0	209.0
