Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

41.9	81.0
42.0	81.0
42.1	82.0
42.2	87.0
42.3	81.0
42.4	79.0
42.5	80.0
42.6	92.0
42.7	88.0
42.8	83.0
42.9	96.0
43.0	131.0
43.1	189.0
43.2	201.0
43.3	179.0
43.4	164.0
43.5	225.0
43.6	390.0
43.7	557.0
43.8	571.0
43.9	600.0
44.0	500.0
44.1	302.0
44.2	139.0
44.3	105.0
44.4	108.0
44.5	105.0
44.6	100.0
44.7	101.0
44.8	89.0
44.9	95.0
45.0	103.0
45.1	95.0
45.2	86.0
45.3	90.0
45.4	89.0
45.5	82.0
45.6	96.0
45.7	89.0
45.8	89.0
45.9	75.0
46.0	87.0
46.1	96.0
46.2	87.0
46.3	78.0
46.4	75.0
46.5	76.0
46.6	93.0
46.7	82.0
46.8	91.0
46.9	86.0
47.0	79.0
47.1	92.0
47.2	91.0
47.3	93.0
47.4	82.0
47.5	92.0
47.6	97.0
47.7	98.0
47.8	98.0
47.9	102.0
48.0	98.0
48.1	103.0
48.2	86.0
48.3	105.0
48.4	97.0
48.5	102.0
48.6	95.0
48.7	99.0
48.8	119.0
48.9	121.0
49.0	130.0
49.1	148.0
49.2	217.0
49.3	347.0
49.4	500.0
49.5	534.0
49.6	542.0
49.7	736.0
49.8	1636.0
49.9	2070.0
50.0	2542.0
50.1	2640.0
50.2	2239.0
50.3	1256.0
50.4	663.0
50.5	224.0
50.6	170.0
50.7	146.0
50.8	127.0
50.9	121.0
51.0	113.0
51.1	109.0
51.2	102.0
51.3	101.0
51.4	109.0
51.5	101.0
51.6	91.0
51.7	93.0
51.8	97.0
51.9	89.0
52.0	82.0
52.1	90.0
52.2	92.0
52.3	98.0
52.4	89.0
52.5	90.0
52.6	83.0
52.7	91.0
52.8	86.0
52.9	78.0
53.0	77.0
53.1	91.0
53.2	82.0
53.3	79.0
53.4	83.0
53.5	69.0
53.6	92.0
53.7	79.0
53.8	76.0
53.9	83.0
54.0	80.0
54.1	74.0
54.2	81.0
54.3	79.0
54.4	80.0
54.5	79.0
54.6	77.0
54.7	85.0
54.8	79.0
54.9	70.0
55.0	76.0
